original,sub,type
auntie,aunt,common_form
bike,bicycle,common_form
birdie,bird,common_form
dada,dad,common_form
daddy,dad,common_form
doggie,dog,common_form
dolly,doll,common_form
donut,doughnut,common_form
duckie,duck,common_form
fridge,refrigerator,common_form
froggie,frog,common_form
horsie,horse,common_form
mama,mom,common_form
mommy,mom,common_form
papa,dad,common_form
piggy,pig,common_form
police officer,policeman,common_form
teddy bear,teddy,common_form
teddybear,teddy,common_form
almond milk,almondmilk,compound
amusement park,amusementpark,compound
apple sauce,applesauce,compound
baby sitter,babysitter,compound
back pack,backpack,compound
back yard,backyard,compound
band aid,bandaid,compound
belly button,bellybutton,compound
chocolate milk,chocolatemilk,compound
christmas tree,christmastree,compound
easter egg,easteregg,compound
fire truck,firetruck,compound
french fries,frenchfries,compound
french fry,frenchfries,compound
gas station,gasstation,compound
green beans,greenbeans,compound
ham burger,burger,compound
hamburger,burger,compound
high chair,highchair,compound
hot dog,hotdog,compound
ice cream,icecream,compound
jump rope,jumprope,compound
lawn mower,lawnmower,compound
living room,livingroom,compound
meat ball,meatball,compound
nail polish,nailpolish,compound
parking lot,parkinglot,compound
peanut butter,peanutbutter,compound
play dough,playdough,compound
play ground,playground,compound
play pen,playpen,compound
police man,policeman,compound
potato chip,chips,compound
potato chips,chips,compound
rocking chair,rockingchair,compound
rubber duck,rubberduck,compound
sand box,sandbox,compound
santa claus,santaclaus,compound
shopping cart,shoppingcart,compound
side walk,sidewalk,compound
snow man,snowman,compound
snow suit,snowsuit,compound
thank you,thankyou,compound
tooth brush,toothbrush,compound
wanna,want to,contraction
washing machine,washingmachine,compound
water melon,watermelon,compound
watering can,wateringcan,compound
walkie talkie,walkietalkie,compound
don't,do not,contraction
gonna,going to,contraction
gotta,got to,contraction
hafta,have to,contraction
lemme,let me,contraction
foot,feet,irreg_plural
mice,mouse,irreg_plural
teeth,tooth,irreg_plural
hoover,vacuum,synonym
