Subject	partofspeech	Experimenter_Word	Id	PairNumber	Experimenter_FileName	Experimenter_Utterance_Duration	Experimenter_Utterance_Latency	Experimenter_Utterance_Intensity	Child_Word	Child_FileName	Child_Utterance_Duration	Child_Utterance_Latency	Child_Utterance_Intensity	Experimenter_Notes	Child_Notes	Good	ResponseCat	UniqueWordId	LogFreq	prodage	Cue	TopAssocn	BwdAssocn	NumAssociates	Order	DOB	DOT	Age	Gender	KEEP	Age2	Para	Trials	TrialsByPart
S1	adjective	after	72	17	S1_E_17_72.wav	0.821489086	2.190637564	59.73081053	wonton	S1_C_17_72.wav	1.12021239	8.30634944	50.44511492	?	approx	1	O	72	3.122870923	29.35483871	AFTER	0.571	0.859	10	1	41521	42903	3	M	TRUE	Younger	0	25	6
S1	adjective	cold	46	5	S1_E_5_46.wav	0.647234248	0.945957747	67.01801039	ride	S1_C_5_46.wav	0.871276872	1.891915493	47.55743871	?	?	1	S	46	2.931457871	18.87719298	COLD	0.413	0.676	19	1	41521	42903	3	M	TRUE	Younger	0	25	6
S1	adjective	dirty	19	25	S1_E_25_19.wav	0.82148904	1.194893149	65.08814279	too	S1_C_25_19.wav	1.070425112	1.091046824	47.77017603	?	unclear	1	S	19	2.764176132	19	DIRTY	0.288	0.527	15	1	41521	42903	3	M	TRUE	Younger	0	25	6
S1	adjective	long	69	16	S1_E_16_69.wav	0.821489096	0.984205815	63.26580937	don_don	S1_C_16_69.wav	0.995744347	5.937610325	51.63802242	?	?	1	O	69	3.1430148	29.79591837	LONG	0.536	0.222	13	1	41521	42903	3	M	TRUE	Younger	0	25	6
S1	adjective	old	58	4	S1_E_4_58.wav	0.771702375	0.825319167	64.47834379	wold	S1_C_4_58.wav	0.746808747	2.782333792	53.21135353	?	?	1	R	58	3.010299957	29.2920354	OLD	0.473	0.725	9	1	41521	42903	3	M	TRUE	Younger	0	25	6
S1	adjective	red	13	32	S1_E_32_13.wav	0.82148904	1.376807727	61.35084279	orange	S1_C_32_13.wav	1.09531872	1.443829221	51.6137876	?	?	1	P	13	3.089551883	22.6	RED	0.26	0.106	14	1	41521	42903	3	M	TRUE	Younger	1	25	6
S1	noun	boy	88	9	S1_E_9_88.wav	0.746808738	1.618085599	63.63478615	girl	S1_C_9_88.wav	0.896170402	1.563253065	48.74032362	?	approx	1	P	88	3.438225808	19.91911765	BOY	0.701	0.738	10	1	41521	42903	3	M	TRUE	Younger	1	25	7
S1	noun	chair	24	12	S1_E_12_24.wav	0.771702041	0.746792201	61.33052292	towel	S1_C_12_24.wav	0.771702041	2.165744073	48.62306755	?	?	1	O	24	3.116939647	19	CHAIR	0.314	0.756	14	1	41521	42903	3	M	TRUE	Younger	0	25	7
S1	noun	dog	83	1	S1_E_1_83.wav	0.672127968	0	63.08083859	cat	S1_C_1_83.wav	0.846383326	1.022555585	49.54774548	?	Cfirst	1	P	83	3.184407485	13.91262136	DOG	0.667	0.513	5	1	41521	42903	3	M	TRUE	Younger	1	25	7
S1	noun	house	73	2	S1_E_2_73.wav	1.219787729	1.024467799	60.85823043	doggy	S1_C_2_73.wav	0.871276949	8.115322443	64.841011	?	?	1	O	73	3.491641793	21.73267327	HOUSE	0.582	0.333	13	1	41521	42903	3	M	TRUE	Younger	0	25	7
S1	noun	kitty	101	11	S1_E_11_101.wav	0.921063801	0.700821222	58.91356954	dog	S1_C_11_101.wav	0.821489336	1.568297823	48.32464005	?	?	1	P	101	2.641474111	15.33198381	KITTY	NA	NA	NA	1	41521	42903	3	M	TRUE	Younger	1	25	7
S1	noun	paper	21	29	S1_E_29_21.wav	0.796595432	1.482124677	63.38941111	drawing	S1_C_29_21.wav	0.995744291	1.692765294	56.61397904	?	?	1	S	21	3.027349608	21	PAPER	0.3	0.109	15	1	41521	42903	3	M	TRUE	Younger	0	25	7
S1	noun	tiger	23	20	S1_E_20_23.wav	0.697021003	1.085170729	64.08841786	wiger	S1_C_20_23.wav	0.945957076	1.916807759	50.88167737	?	approx	1	R	23	3.020775488	22.5320197	TIGER	0.308	0.362	15	1	41521	42903	3	M	TRUE	Younger	0	25	7
S1	other	first	56	7	S1_E_7_56.wav	0.995744996	1.20063763	60.50423736	when	S1_C_7_56.wav	0.846383247	1.373866565	49.81754971	?	?	1	O	56	3.2999429	26.94495413	FIRST	0.467	0.575	11	1	41521	42903	3	M	TRUE	Younger	0	25	3
S1	other	morning	4	28	S1_E_28_4.wav	0.721914611	1.194893149	64.06123144	night	S1_C_28_4.wav	0.647233789	2.106212292	50.84046509	?	?	1	P	4	3.133219457	24.86082474	MORNING	0.216	0	18	1	41521	42903	3	M	TRUE	Younger	1	25	3
S1	other	yes	98	18	S1_E_18_98.wav	0.921063521	1.587530384	59.86504389	no	S1_C_18_98.wav	0.82148904	5.127442973	49.73114537	?	?	1	P	98	3.930490565	18.0942029	YES	0.83	0.761	7	1	41521	42903	3	M	TRUE	Younger	1	25	3
S1	verb	fix	31	30	S1_E_30_31.wav	0.970850683	1.409521705	61.45421916	bye	S1_C_30_31.wav	0.82148904	2.357233363	57.66669105	?	?	1	O	31	2.87909588	22.71291866	FIX	0.338	0.089	9	1	41521	42903	3	M	TRUE	Younger	0	25	9
S1	verb	open	89	13	S1_E_13_89.wav	0.597446741	0.896170112	60.957168	drawer	S1_C_13_89.wav	0.796595655	1.518510468	52.15172099	?	?	1	S	89	3.111934276	21.10948905	OPEN	0.723	0.448	5	1	41521	42903	3	M	TRUE	Younger	0	25	9
S1	verb	ride	38	31	S1_E_31_38.wav	1.493616436	0.921063469	60.92678735	bye_bye	S1_C_31_38.wav	0.721914611	1.244680363	55.32982942	?	?	1	S	38	2.939019776	21.76521739	RIDE	0.372	0.261	14	1	41521	42903	3	M	TRUE	Younger	0	25	9
S1	verb	run	60	26	S1_E_26_60.wav	0.846382647	1.045531505	63.67264728	running_on_playground	S1_C_26_60.wav	1.319361185	2.09106301	53.5139012	?	?	1	O	60	2.790988475	22.22282609	RUN	0.493	0.465	10	1	41521	42903	3	M	TRUE	Younger	0	25	9
S1	verb	sing	54	33	S1_E_33_54.wav	0.846382647	0.497872145	59.61721275	draw	S1_C_33_54.wav	0.497872145	3.657445406	53.10035505	?	approx	1	P	54	2.810904281	24.04545455	SING	0.456	0.291	17	1	41521	42903	3	M	TRUE	Younger	1	25	9
S1	verb	sit	33	24	S1_E_24_33.wav	0.871276254	1.729145888	62.51967994	tail	S1_C_24_33.wav	0.796595432	2.165743832	57.79792466	?	approx	1	O	33	3.453165393	18.94422311	SIT	0.348	0.534	14	1	41521	42903	3	M	TRUE	Younger	0	25	9
S1	verb	stand	67	27	S1_E_27_67.wav	1.120212327	1.070425112	62.40243161	on_table	S1_C_27_67.wav	1.244680363	1.916482562	51.6766455	?	approx	1	S	67	2.813580989	25.55862069	STAND	0.534	0.348	10	1	41521	42903	3	M	TRUE	Younger	0	25	9
S1	verb	walk	55	14	S1_E_14_55.wav	0.995744561	1.861676897	60.30242371	talk	S1_C_14_55.wav	0.796595649	1.369148771	55.23776089	?	approx/cfirst	1	S	55	2.862131379	21	WALK	0.465	0.493	12	1	41521	42903	3	M	TRUE	Younger	0	25	9
S1	verb	wash	6	22	S1_E_22_6.wav	0.945957076	2.261581451	62.78737695	water	S1_C_22_6.wav	0.746808218	1.25616735	52.67270636	?	?	1	S	6	2.787460475	21.76521739	WASH	0.223	0	14	1	41521	42903	3	M	TRUE	Younger	0	25	9
S10	adjective	bad	93	26	S10_E_26_93.wav	0.748564939	2.323132569	67.93391994	not_bad	S10_C_26_93.wav	0.955065612	1.235017998	50.75954867	?	?	1	N	93	2.985426474	22.66433566	BAD	0.75	0.758	9	5	40682	42903	6	M	TRUE	Older	0	25	8
S10	adjective	better	50	5	S10_E_5_50.wav	0.56787685	0.696939771	69.46996002	not_better	S10_C_5_50.wav	0.748564939	1.290629205	55.06903711	?	?	1	N	50	3.335658452	25.51351351	BETTER	0.435	0.403	7	5	40682	42903	6	M	TRUE	Older	0	25	8
S10	adjective	big	78	13	S10_E_13_78.wav	0.722752355	1.00669078	63.22844788	little	S10_C_13_78.wav	0.671127187	0.970371209	57.36843574	?	?	1	P	78	3.659250469	20.59722222	BIG	0.635	0.351	9	5	40682	42903	6	M	TRUE	Older	1	25	8
S10	adjective	good	95	11	S10_E_11_95.wav	0.645314602	0.800190107	66.75307915	not_good	S10_C_11_95.wav	0.645314602	0.696939771	54.56314214	?	?	1	N	95	3.966423346	21.73134328	GOOD	0.758	0.75	8	5	40682	42903	6	M	TRUE	Older	0	25	8
S10	adjective	green	11	20	S10_E_20_11.wav	0.800190107	0.722752355	64.03664902	red	S10_C_20_11.wav	0.696939771	1.084128532	57.50048491	?	?	1	P	11	3.025715384	24.41304348	GREEN	0.25	0.364	17	5	40682	42903	6	M	TRUE	Older	1	25	8
S10	adjective	hard	71	32	S10_E_32_71.wav	0.877627859	0.593689434	64.4001253	not_hard	S10_C_32_71.wav	1.213191453	2.555445826	53.36149274	?	?	1	N	71	3.010299957	27.6	HARD	0.564	0.509	10	5	40682	42903	6	M	TRUE	Older	0	25	8
S10	adjective	hot	85	23	S10_E_23_85.wav	0.671127187	0.980878196	61.6478407	cold	S10_C_23_85.wav	0.619502018	1.419692125	55.10272175	?	?	1	P	85	2.897627091	15.57636888	HOT	0.676	0.413	8	5	40682	42903	6	M	TRUE	Older	1	25	8
S10	adjective	pretty	57	17	S10_E_17_57.wav	0.980878196	1.161566284	62.26853869	not_pretty_	S10_C_17_57.wav	0.696939771	2.787759083	58.94061351	?	?	1	N	57	3.211921084	21.44897959	PRETTY	0.473	0.291	11	5	40682	42903	6	M	TRUE	Older	0	25	8
S10	noun	cow	34	7	S10_E_7_34.wav	0.593689434	1.290629205	67.32024082	no_cow	S10_C_7_34.wav	0.696939771	1.681270036	60.90671285	?	?	1	N	34	2.821513528	18.6	COW	0.352	0.388	10	5	40682	42903	6	M	TRUE	Older	0	25	8
S10	noun	hand	35	21	S10_E_21_35.wav	0.645314602	0.955065612	64.02523702	no_hand	S10_C_21_35.wav	1.058315948	0.851815275	58.3247512	?	?	1	N	35	3.110926242	18.84269663	HAND	0.358	0.268	16	5	40682	42903	6	M	TRUE	Older	0	25	8
S10	noun	lunch	16	27	S10_E_27_16.wav	0.696939771	1.084128532	62.72227617	no_lunch	S10_C_27_16.wav	0.955065612	0.903440443	52.31512676	?	?	1	N	16	2.870988814	22.72972973	LUNCH	0.269	0.096	17	5	40682	42903	6	M	TRUE	Older	0	25	8
S10	noun	man	82	24	S10_E_24_82.wav	0.800190107	0.722752355	65.09957703	no_man	S10_C_24_82.wav	1.032503364	0.826002691	54.93866177	?	?	1	N	82	3.299725154	21.79230769	MAN	0.66	0.595	9	5	40682	42903	6	M	TRUE	Older	0	25	8
S10	noun	milk	40	10	S10_E_10_40.wav	0.696939771	2.942634587	63.65660755	cholocolate_milk	S10_C_10_40.wav	1.342254373	1.667096213	55.91384782	?	?	1	P	40	3.135450699	18.14615385	MILK	0.388	0.352	18	5	40682	42903	6	M	TRUE	Older	1	25	8
S10	noun	mouth	1	4	S10_E_4_1.wav	0.696939771	1.290629205	65.33400876	no_mouth_	S10_C_4_1.wav	1.1357537	0.955065612	53.27148942	?	?	1	N	1	3.033825694	18.34509804	MOUTH	0.201	0	19	5	40682	42903	6	M	TRUE	Older	0	25	8
