original_assoc,substitution_assoc,original_direct,substitution_direct,issue
sock,,socks,sock,morph
sucks,suck,,,morph
sitting,sit,,,morph
friendships,friendship,,,morph
coals,coal,,,morph
animal,,animals,animal,morph
spots,spot,,,morph
drinking,drink,,,morph
mommy,mom,,,common_form
a_card,card,,,common_form
crayon,,crayons,crayon,morph
doddle,doodle,,,typo
dots,dot,,,morph
ate,eat,,,morph
consume,,consuming,consume,morph
drop,,dropped,drop,morph
leafs,leaf,,,morph
leaves,leaf,,,morph
seasons,season,,,morph
skiing,ski,,,morph
hide,,hiding,hide,morph
locate,,located,locate,morph
looking,look,,,morph
complete,,completely,complete,morph
destroy,,destroyed,destroy,morph
tool,,tools,tool,morph
McDonalds,macdonald,,,morph
starve,,starving,starve,morph
received,receive,,,morph
recieve,receive,,,typo
fingers,finger,,,morph
holding,hold,,,morph
leg,,legs,leg,morph
toe,,toe,toes,morph
cry,,crying,cry,morph
smiles,smile,,,morph
injure,,injured,injure,morph
painful,pain,,,morph
adult,,adults,adult,morph
doggy,dog,,,common_form
acceptance_,accept,,,typo
bored,,boring,bored,morph
sickness,sick,,,morph
waking,wake,,,morph
ear,,ears,ear,morph
teeth,tooth,,,morph
eyebrow,,eyebrows,eyebrow,morph
closed,close,,,morph
words,word,,,morph
drawing,draw,,,morph
girls,girl,,,morph
ugly_,ugly,,,typo
bike,bicycle,,,common_form
tierd,tired,,,typo
laugh,,laughing,laugh,morph
standing,stand,,,morph
choices,choice,,,morph
shoe,,shoes,shoe,morph
begin,,beginning,begin,morph
ending,end,,,morph
tale,,tales,tale,morph
writing,write,,,morph
tabletop,table_top,,,typo
yesturday,yesterday,,,typo
coming,come,,,morph
enjoyment,enjoy,,,morph
laundary,laundry,,,typo
things,thing,,,morph
thank_you,thankyou,,,compound_word
healed,heal,healing,heal,morph
log,,logs,log,morph
stories,story,,,morph
cholocolate_milk,chocolatemilk,,,compound_word
nighttime_,night_time,,,typo
insdie,inside,,,typo
stork,,storks,stork,morph
cars,car,,,morph
tracks,track,,,morph
getting,get,,,morph
toy,,toys,toy,morph
pear,,pears,pear,morph
bones,,bones,bone,morph
winds,wind,,,morph
beside,,besides,beside,morph
kid,,kids,kid,morph
swim,,swimming,swim,morph
woof_woof,woof,,,common_form
hum,,,,
talks,talk,,,morph
cloud,,clouds,cloud,morph
plants,plant,,,morph
pockets,pocket,,,morph
pretzel,,pretzels,pretzel,morph
strave,starve,,,typo
friends,friend,,,morph
teen,,teens,teen,morph
bard,,,,
sales,sale,,,morph
pouse,,,,
ballon,balloon,,,typo
daddy,dad,,,common_form
mitten,,mittens,mitten,morph
breathing,breathe,breath,breathe,morph
cows,cow,,,morph
horses,horse,,,morph
proved,prove,,,morph
cheerio,cheerios,,,morph
princes,prince,,,morp
vroom_vroom,vroom,,,common_form
marker,,markers,marker,morph
grape,,grapes,grape,morph
flower,,flowers,flower,morph
heave,,heaving,heave,morph
bye_bye,bye,,,common_form
pans,pan,,,morph
rocks,rock,,,morph
playing,play,,,morph
pushing,push,,,morph
puppets,puppet,,,morph
chairs,chair,,,morph
walks,walk,,,morph
foot,feet,,,morph
weatr,water,,,typo
loceat,locate,,,typo
meatball,,meatballs,meatball,morph
friendhip,frienship,,,typo
ceatrpillar,caterpillar,,,typo
leatr,later,,,typo
sweeatr,sweater,,,typo
cholocoleat_milk,chocolatemilk,,,typo
chocoleat_milk,chocolatemilk,,,typo
amusement_park,amusementpark,,,compound_word
worst,worse,,,morph
