Cond,Cond_Item,word1,word2
Assoc,target,pajamas,blanket
Assoc,distractor,pajamas,candle
Assoc,target,cake,present
Assoc,distractor,cake,shampoo
Assoc,target,bus,backpack
Assoc,distractor,bus,christmastree
Assoc,target,rubberduck,soap
Assoc,distractor,rubberduck,paper
Assoc,target,table,plate
Assoc,distractor,table,bag
Assoc,target,reindeer,santaclaus
Assoc,distractor,reindeer,doctor
Assoc,target,nurse,bandaid
Assoc,distractor,nurse,fork
Assoc,target,store,shoppingcart
Assoc,distractor,store,pillow
Tax,target,pajamas,sweater
Tax,distractor,pajamas,dog
Tax,target,cake,hotdog
Tax,distractor,cake,socks
Tax,target,bus,firetruck
Tax,distractor,bus,sofa
Tax,target,rubberduck,puzzle
Tax,distractor,rubberduck,policeman
Tax,target,table,bed
Tax,distractor,table,jumprope
Tax,target,reindeer,elephant
Tax,distractor,reindeer,school
Tax,target,nurse,dad
Tax,distractor,nurse,cheese
Tax,target,store,library
Tax,distractor,store,airplane
