category,Cond_Prime,word1,word2,fa
animals,Rel,dog,cow,FALSE
animals,Rel,dog,pig,FALSE
animals,Rel,dog,horse,FALSE
animals,Rel,dog,sheep,FALSE
animals,Rel,dog,frog,FALSE
animals,Rel,dog,mouse,FALSE
animals,Rel,cat,cow,FALSE
animals,Rel,cat,pig,FALSE
animals,Rel,cat,horse,FALSE
animals,Rel,cat,sheep,FALSE
animals,Rel,cat,frog,FALSE
animals,Rel,cow,sheep,FALSE
animals,Rel,cow,frog,FALSE
animals,Rel,cow,mouse,FALSE
animals,Rel,pig,horse,FALSE
animals,Rel,pig,sheep,FALSE
animals,Rel,pig,frog,FALSE
animals,Rel,pig,mouse,FALSE
animals,Rel,horse,sheep,FALSE
animals,Rel,horse,frog,FALSE
animals,Rel,horse,mouse,FALSE
animals,Rel,sheep,frog,FALSE
animals,Rel,sheep,mouse,FALSE
animals,Rel,frog,mouse,FALSE
body_parts,Rel,nose,tummy,FALSE
body_parts,Rel,nose,finger,FALSE
body_parts,Rel,nose,tooth,FALSE
body_parts,Rel,nose,toes,FALSE
body_parts,Rel,nose,arm,FALSE
body_parts,Rel,tummy,ears,FALSE
body_parts,Rel,tummy,finger,FALSE
body_parts,Rel,tummy,mouth,FALSE
body_parts,Rel,tummy,tooth,FALSE
body_parts,Rel,tummy,toes,FALSE
body_parts,Rel,tummy,arm,FALSE
body_parts,Rel,ears,finger,FALSE
body_parts,Rel,ears,mouth,FALSE
body_parts,Rel,ears,tooth,FALSE
body_parts,Rel,ears,toes,FALSE
body_parts,Rel,ears,arm,FALSE
body_parts,Rel,finger,mouth,FALSE
body_parts,Rel,finger,tooth,FALSE
body_parts,Rel,finger,arm,FALSE
body_parts,Rel,mouth,toes,FALSE
body_parts,Rel,mouth,arm,FALSE
body_parts,Rel,tooth,toes,FALSE
body_parts,Rel,tooth,arm,FALSE
body_parts,Rel,toes,arm,FALSE
clothes,Rel,shoes,diaper,FALSE
clothes,Rel,shoes,hat,FALSE
clothes,Rel,shoes,coat,FALSE
clothes,Rel,shoes,bib,FALSE
clothes,Rel,shoes,pants,FALSE
clothes,Rel,shoes,boots,FALSE
clothes,Rel,diaper,socks,FALSE
clothes,Rel,diaper,hat,FALSE
clothes,Rel,diaper,coat,FALSE
clothes,Rel,diaper,bib,FALSE
clothes,Rel,diaper,pants,FALSE
clothes,Rel,diaper,boots,FALSE
clothes,Rel,socks,hat,FALSE
clothes,Rel,socks,coat,FALSE
clothes,Rel,socks,bib,FALSE
clothes,Rel,socks,pants,FALSE
clothes,Rel,socks,boots,FALSE
clothes,Rel,hat,bib,FALSE
clothes,Rel,hat,pants,FALSE
clothes,Rel,hat,boots,FALSE
clothes,Rel,coat,bib,FALSE
clothes,Rel,coat,pants,FALSE
clothes,Rel,coat,boots,FALSE
clothes,Rel,bib,pants,FALSE
clothes,Rel,bib,boots,FALSE
clothes,Rel,pants,boots,FALSE
food,Rel,biscuit,milk,FALSE
food,Rel,biscuit,apple,FALSE
food,Rel,biscuit,juice,FALSE
food,Rel,biscuit,toast,FALSE
food,Rel,biscuit,cheese,FALSE
food,Rel,biscuit,cake,FALSE
food,Rel,milk,apple,FALSE
food,Rel,milk,juice,FALSE
food,Rel,milk,toast,FALSE
food,Rel,milk,cake,FALSE
food,Rel,apple,bread,FALSE
