Cond_Prime,word1,word2
Rel,bear,elephant
Unrel,bear,airplane
Rel,bicycle,train
Unrel,bicycle,chicken
Rel,cookie,banana
Unrel,cookie,tooth
Rel,boots,pants
Unrel,boots,trash
Rel,box,lamp
Unrel,box,orange
Rel,horse,pig
Unrel,horse,cheese
Rel,mouth,nose
Unrel,mouth,butter
Rel,shirt,dress
Unrel,shirt,light
Rel,rabbit,dog
Unrel,rabbit,girl
Rel,balloon,blocks
Unrel,balloon,duck
Rel,strawberries,carrots
Unrel,strawberries,feet
Rel,bed,table
Unrel,bed,sweater
Rel,sister,child
Unrel,sister,boat
Rel,truck,motorcycle
Unrel,truck,milk
Rel,sheep,squirrel
Unrel,sheep,carrots
Rel,ears,tongue
Unrel,ears,spoon
Rel,face,hand
Unrel,face,pasta
Rel,bottle,glass
Unrel,bottle,jacket
Rel,toast,cereal
Unrel,toast,knee
Rel,bread,cake
Unrel,bread,hair
Rel,lady,aunt
Unrel,lady,doll
Rel,legs,tummy
Unrel,legs,meat
Rel,coat,shoes
Unrel,coat,broom
Rel,chair,drawer
Unrel,chair,hat
Rel,apple,jam
Unrel,apple,head
Rel,water,juice
Unrel,water,finger
Rel,bowl,fork
Unrel,bowl,diaper
Rel,toys,ball
Unrel,toys,brother
Rel,boy,baby
Unrel,boy,bubbles
Rel,man,uncle
Unrel,man,bird
Rel,cat,butterfly
Unrel,cat,stroller
Rel,cow,mouse
Unrel,cow,egg
Rel,pony,lion
Unrel,pony,chocolate
Rel,owl,donkey
Unrel,owl,icecream
Rel,arm,eyes
Unrel,arm,watch
Rel,sofa,pillow
Unrel,sofa,cheek
