Cond_Prime,word1,word2
Unrel,airplane,bear
Rel,elephant,bear
Unrel,chicken,bicycle
Rel,train,bicycle
Unrel,teeth,cookie
Rel,trash,cookie
Unrel,orange,box
Rel,lamp,box
Unrel,cheese,horse
Rel,pig,horse
Unrel,butter,mouth
Rel,nose,mouth
Unrel,dress,shirt
Rel,light,shirt
Unrel,girl,rabbit
Rel,dog,rabbit
Unrel,duck,balloon
Rel,blocks,balloon
Unrel,feet,strawberries
Rel,carrots,strawberries
Unrel,sweater,bed
Rel,table,bed
Unrel,boat,sister
Rel,child,sister
Unrel,milk,truck
Rel,motorcycle,truck
Unrel,car,sheep
Rel,squirrel,sheep
Unrel,spoon,ears
Rel,tongue,ears
Unrel,pasta,face
Rel,hand,face
Unrel,jacket,bottle
Rel,glass,bottle
Unrel,knee,toast
Rel,cereal,toast
Unrel,hair,bread
Rel,cake,bread
Unrel,doll,woman
Rel,aunt,woman
Unrel,meat,legs
Rel,tummy,legs
Unrel,hat,chair
Rel,cabinet,chair
Unrel,head,apple
Rel,jam,apple
Unrel,finger,water
Rel,juice,water
Unrel,bed,bowl
Rel,fork,bowl
Unrel,brother,toys
Rel,ball,toys
Unrel,bubbles,boy
Rel,baby,boy
Unrel,bird,man
Rel,uncle,man
Unrel,stroller,cat
Rel,butterfly,cat
Unrel,egg,cow
Rel,mouse,cow
Unrel,chocolate,pony
Rel,lion,pony
Unrel,icecream,owl
Rel,donkey,owl
Unrel,watch,arm
Rel,eyes,arm
Unrel,sofa,cheek
Rel,sofa,pillow
Unrel,fairy,boat
Rel,fairy,queen
Unrel,pumpkin,shark
Rel,pumpkin,beans
Unrel,grapes,stool
Rel,grapes,watermelon
Unrel,beach,necklace
Rel,beach,snow
Unrel,sea,scissors
Rel,sea,wind
Unrel,fox,corn
Rel,fox,snake
Unrel,sun,food
Rel,sun,moon
Unrel,garden,candle
Rel,garden,forest
Unrel,castle,bellybutton
Rel,castle,church
Unrel,school,cup
Rel,school,house
Unrel,bottle,mouse
Rel,bottle,nipple
Unrel,beaver,window
Rel,beaver,frog
Unrel,racket,peacock
Rel,racket,kite
Unrel,flowers,ham
Rel,flowers,rainbow
Unrel,lips,snail
Rel,lips,hand
