pair,Cond_Prime,word1,word2,thematic_exclusion
1,Rel,dog,kitty,NA
2,Rel,shoes,socks,NA
3,Rel,juice,milk,NA
4,Rel,mouth,nose,NA
NA,Unrel,dog,shoes,1
NA,Unrel,kitty,shoes,1
NA,Unrel,dog,socks,1
NA,Unrel,kitty,socks,1
NA,Unrel,dog,juice,0
NA,Unrel,kitty,juice,0
NA,Unrel,dog,milk,1
NA,Unrel,kitty,milk,1
NA,Unrel,dog,mouth,1
NA,Unrel,kitty,mouth,1
NA,Unrel,dog,nose,1
NA,Unrel,kitty,nose,1
NA,Unrel,shoes,juice,0
NA,Unrel,socks,juice,0
NA,Unrel,shoes,milk,0
NA,Unrel,socks,milk,0
NA,Unrel,shoes,mouth,0
NA,Unrel,socks,mouth,0
NA,Unrel,shoes,nose,0
NA,Unrel,socks,nose,0
NA,Unrel,juice,mouth,1
NA,Unrel,milk,mouth,1
NA,Unrel,juice,nose,1
NA,Unrel,milk,nose,1
