word_mcdi,word,match_word_form,category,added_word,modified_category,prop_known_30mo,noun
NA,parrot,0,animals,1,0,NA,1
NA,cricket,0,animals,1,0,NA,1
NA,rhinoceros,0,animals,1,0,NA,1
NA,lizard,0,animals,1,0,NA,1
NA,crocodile,0,animals,1,0,NA,1
NA,octopus,0,animals,1,0,NA,1
NA,raccoon,0,animals,1,0,NA,1
NA,reindeer,0,animals,1,0,NA,1
NA,skunk,0,animals,1,0,NA,1
NA,hamster,0,animals,1,0,NA,1
NA,goldfish,0,animals,1,0,NA,1
NA,beaver,0,animals,1,0,NA,1
NA,caterpillar,0,animals,1,0,NA,1
NA,rabbit,0,animals,1,0,NA,1
NA,spider,0,animals,1,0,NA,1
NA,snake,0,animals,1,0,NA,1
NA,kitten,0,animals,1,0,NA,1
NA,fox,0,animals,1,0,NA,1
NA,kangaroo,0,animals,1,0,NA,1
NA,whale,0,animals,1,0,NA,1
NA,ladybug,0,animals,1,0,NA,1
NA,shark,0,animals,1,0,NA,1
NA,crab,0,animals,1,0,NA,1
NA,koala,0,animals,1,0,NA,1
NA,rat,0,animals,1,0,NA,1
NA,gorilla,0,animals,1,0,NA,1
NA,lobster,0,animals,1,0,NA,1
NA,panda,0,animals,1,0,NA,1
NA,toad,0,animals,1,0,NA,1
NA,snail,0,animals,1,0,NA,1
NA,camel,0,animals,1,0,NA,1
NA,goat,0,animals,1,0,NA,1
NA,hippo,0,animals,1,0,NA,1
NA,worm,0,animals,1,0,NA,1
NA,dolphin,0,animals,1,0,NA,1
NA,grasshopper,0,animals,1,0,NA,1
NA,weasel,0,animals,1,1,NA,1
NA,bumblebee,0,animals,1,0,NA,1
NA,gerbil,0,animals,1,0,NA,1
bird,bird,0,animals,0,0,0.97,1
duck,duck,0,animals,0,0,0.97,1
fish (animal),fish,0,animals,0,0,0.97,1
horse,horse,0,animals,0,0,0.97,1
dog,dog,0,animals,0,0,0.96,1
bear,bear,0,animals,0,0,0.95,1
cat,cat,0,animals,0,0,0.95,1
cow,cow,0,animals,0,0,0.95,1
elephant,elephant,0,animals,0,0,0.95,1
pig,pig,0,animals,0,0,0.95,1
frog,frog,0,animals,0,0,0.94,1
kitty,kitty,0,animals,0,0,0.94,1
monkey,monkey,0,animals,0,0,0.94,1
bee,bee,0,animals,0,0,0.93,1
puppy,puppy,0,animals,0,0,0.93,1
bug,bug,0,animals,0,0,0.92,1
bunny,bunny,0,animals,0,0,0.92,1
butterfly,butterfly,0,animals,0,0,0.92,1
lion,lion,0,animals,0,0,0.92,1
turtle,turtle,0,animals,0,0,0.91,1
mouse,mouse,0,animals,0,0,0.9,1
chicken (animal),chicken,0,animals,0,0,0.89,1
tiger,tiger,0,animals,0,0,0.88,1
sheep,sheep,0,animals,0,0,0.85,1
ant,ant,0,animals,0,0,0.84,1
giraffe,giraffe,0,animals,0,0,0.84,1
animal,animal,0,animals,0,0,0.83,1
zebra,zebra,0,animals,0,0,0.81,1
owl,owl,0,animals,0,0,0.8,1
squirrel,squirrel,0,animals,0,0,0.8,1
alligator,alligator,0,animals,0,0,0.79,1
turkey,turkey,0,animals,0,0,0.72,1
deer,deer,0,animals,0,0,0.69,1
penguin,penguin,0,animals,0,0,0.69,1
lamb,lamb,0,animals,0,0,0.66,1
rooster,rooster,0,animals,0,0,0.61,1
goose,goose,0,animals,0,0,0.6,1
pony,pony,0,animals,0,0,0.58,1
wolf,wolf,0,animals,0,0,0.58,1
donkey,donkey,0,animals,0,0,0.52,1
moose,moose,0,animals,0,0,0.48,1
hen,hen,0,animals,0,0,0.46,1
NA,chest,0,body_parts,1,0,NA,1
NA,elbow,0,body_parts,1,0,NA,1
NA,belly,0,body_parts,1,0,NA,1
NA,stomach,0,body_parts,1,0,NA,1
NA,thumb,0,body_parts,1,0,NA,1
NA,fingernails,0,body_parts,1,0,NA,1
NA,eyebrows,0,body_parts,1,0,NA,1
eye,eyes,1,body_parts,0,0,0.98,1
nose,nose,0,body_parts,0,0,0.98,1
ear,ears,1,body_parts,0,0,0.97,1
foot,feet,1,body_parts,0,0,0.97,1
